Player Id,Age,Nationality,Over All Draft,Last Name,First Name,Position,Team,GP,Goals,Assists,Points,PlusMinus,PIM,GWG,Status,Salary
8475236,26,CAN,85,Eakin,Cody,C,DAL,60,3,9,12,-7,49,1,UFA,3850000
8470622,33,USA,29,Eaves,Patrick,RW/LW,ANA/DAL,79,32,19,51,-2,24,2,UFA,1000000
8474586,27,CAN,22,Eberle,Jordan,RW/C,EDM,82,20,31,51,3,16,0,UFA,6000000
8471303,31,SWE,91,Edler,Alex,D,VAN,68,6,15,21,-20,36,0,UFA,6000000
8476441,24,CAN,46,Edmundson,Joel,D,STL,69,3,12,15,11,60,1,RFA,900000
8477940,21,DNK,9,Ehlers,Nikolaj,LW,WPG,82,25,39,64,1,38,4,RFA,925000
8478403,21,USA,2,Eichel,Jack,C,BUF,61,24,33,57,-13,22,4,RFA,925000
8477932,21,CAN,1,Ekblad,Aaron,D,FLA,68,10,11,21,-23,58,2,UFA,925000
8475218,27,SWE,102,Ekholm,Mattias,D,NSH,82,3,20,23,4,34,1,UFA,3000000
8475171,26,SWE,6,Ekman-Larsson,Oliver,D,ARI,79,12,27,39,-25,48,1,UFA,6000000
8477461,22,CAN,40,Elie,Remi,LW,DAL,18,1,6,7,5,8,0,RFA,767500
8474189,28,DNK,13,Eller,Lars,C/LW/RW,WSH,81,12,13,25,15,36,2,UFA,4250000
8475176,26,CAN,11,Ellis,Ryan,D,NSH,71,16,22,38,17,29,3,UFA,2500000
8471296,31,RUS,84,Emelin,Alexei,D,MTL,76,2,8,10,1,71,0,UFA,4200000
8468674,35,CAN,194,Engelland,Deryk,D,CGY,81,4,12,16,2,85,2,UFA,2750000
8477971,21,SWE,40,Englund,Andreas,D,OTT,5,0,0,0,-3,2,0,RFA,742500
8474589,28,CAN,26,Ennis,Tyler,LW/C/RW,BUF,51,5,8,13,-10,12,1,UFA,3650000
8470828,33,SWE,239,Enstrom,Tobias,D,WPG,60,1,13,14,-7,42,0,UFA,5750000
8470318,33,SWE,291,Ericsson,Jonathan,D,DET,51,1,8,9,-2,63,0,UFA,4250000
8470626,32,SWE,33,Eriksson,Loui,LW/C,VAN,65,11,13,24,-9,8,1,UFA,8000000
8478493,20,SWE,20,Eriksson Ek,Joel,C/RW/LW,MIN,15,3,4,7,1,4,1,RFA,925000
8477454,22,USA,33,Erne,Adam,LW,T.B,26,3,0,3,-9,11,0,RFA,925000
8475770,25,USA,29,Etem,Emerson,LW/RW,ANA,3,0,0,0,1,2,0,RFA,775000
8477952,21,CAN,21,Fabbri,Robby,C/LW,STL,51,11,18,29,-16,27,0,RFA,925000
8476889,23,CZE,13,Faksa,Radek,C,DAL,80,12,21,33,-6,67,0,RFA,832500
8473992,29,CAN,110,Falk,Justin,D,BUF,52,0,8,8,-3,29,0,UFA,650000
8476769,28,USA,,Farnham,Bobby,RW,MTL,3,0,0,0,0,17,0,UFA,575000
8477392,22,USA,118,Fasching,Hudson,RW,BUF,10,0,1,1,-1,2,0,RFA,925000
8475855,26,SWE,157,Fast,Jesper,RW/LW,NYR,68,6,15,21,6,16,1,RFA,1000000
8475753,25,USA,37,Faulk,Justin,D,CAR,75,17,20,37,-18,32,2,UFA,5500000
8471816,30,USA,155,Fayne,Mark,D,EDM,4,0,2,2,1,0,0,UFA,3500000
8476166,29,CAN,,Fedun,Taylor,D,BUF,27,0,7,7,3,16,0,UFA,600000
8470611,32,CAN,18,Fehr,Eric,C/RW,PIT/TOR,53,6,5,11,2,14,3,UFA,2000000
8475907,25,CAN,133,Ferland,Micheal,LW/RW,CGY,76,15,10,25,-1,50,1,RFA,900000
8477942,21,CHE,11,Fiala,Kevin,LW,NSH,54,11,5,16,1,18,1,RFA,925000
8469759,37,CAN,,Fiddler,Vernon,C/LW,N.J/NSH,59,2,2,4,-15,66,0,UFA,1250000
8470047,33,FIN,95,Filppula,Valtteri,C/LW,PHI/T.B,79,12,30,42,-1,26,1,UFA,5000000
8478432,20,USA,32,Fischer,Christian,RW,ARI,7,3,0,3,0,0,1,RFA,817500
8467370,37,CAN,44,Fisher,Mike,C,NSH,72,18,24,42,1,55,3,UFA,4000000
8476808,29,USA,,Flynn,Brian,C/RW,MTL,51,6,4,10,2,4,0,UFA,950000
8475220,26,CAN,104,Foligno,Marcus,LW,BUF,80,13,10,23,-1,73,0,RFA,2250000
8473422,30,USA,28,Foligno,Nick,LW/RW,CBJ,79,26,25,51,-4,55,5,UFA,5500000
8477850,26,SWE,,Folin,Christian,D,MIN,51,2,6,8,10,26,0,RFA,850000
8475762,25,USA,15,Forbort,Derek,D,L.A,82,2,16,18,8,54,0,RFA,650000
8478417,21,SWE,45,Forsbacka Karlsson,Jakob,C,BOS,1,0,0,0,0,0,0,RFA,900000
8476887,23,SWE,11,Forsberg,Filip,LW/C/RW,NSH,82,31,27,58,-4,32,9,UFA,6000000
8478055,21,SWE,126,Forsling,Gustav,D,CHI,38,2,3,5,3,4,0,RFA,767500
8475764,26,USA,12,Fowler,Cam,D,ANA,80,11,28,39,7,20,3,UFA,4000000
8471742,30,CAN,79,Franson,Cody,D,BUF,68,3,16,19,-5,34,0,UFA,2650000
8476924,24,CZE,49,Frk,Martin,RW,CAR,2,0,0,0,-3,0,0,RFA,650000
8475278,26,CAN,119,Froese,Byron,C,T.B/TOR,6,0,0,0,-3,5,0,RFA,575000
8473564,29,CZE,10,Frolik,Michael,RW/C,CGY,82,17,27,44,13,58,1,UFA,5000000
8468483,35,SVK,3,Gaborik,Marian,RW,L.A,56,10,11,21,-4,18,3,UFA,6075000
8476545,24,CAN,81,Gabriel,Kurtis,RW,MIN,13,0,1,1,0,29,0,RFA,725000
8474040,28,CAN,6,Gagner,Sam,C/RW,CBJ,81,18,32,50,10,22,1,UFA,650000
8476851,23,USA,3,Galchenyuk,Alex,C/LW,MTL,61,17,27,44,-5,24,6,RFA,3100000
8475848,25,CAN,147,Gallagher,Brendan,RW,MTL,64,10,19,29,7,39,2,UFA,4500000
8476116,32,CAN,,Garbutt,Ryan,C/LW,ANA,27,2,1,3,-3,20,1,UFA,2000000
8474581,27,USA,17,Gardiner,Jake,D,TOR,82,9,34,43,24,34,2,UFA,4050000
8474520,33,CAN,,Garrison,Jason,D,T.B,70,1,8,9,-8,14,0,UFA,3600000
8477715,24,CAN,,Gaudet,Tyler,C,ARI,4,0,1,1,0,0,0,RFA,874125
8477919,24,CAN,,Gaudreau,Frederick,C,NSH,9,0,1,1,1,0,0,RFA,595000
8476346,24,USA,104,Gaudreau,Johnny,LW,CGY,72,18,43,61,-7,4,3,UFA,6750000
8476867,23,CAN,26,Gaunce,Brendan,C/LW,VAN,57,0,5,5,-2,33,0,RFA,832500
